,t,xh,yh,zh,vxh,vyh,vz
0,0.0,0.3347381871777683,-0.21061105379139716,-0.04792146121656372,-0.0001627090210980052,-0.00043186891475459506,-2.0357281909463152e-05
1,365250.0,0.35045500257215384,-0.16733785282295932,-0.045133391303601916,-0.00011342051083376116,-0.0004561715364217573,-2.7747306552717127e-05
2,730500.0,0.361029944045432,-0.12212927164701565,-0.04152804841732427,-5.982852442662582e-05,-0.0004751801547664301,-3.485120171036057e-05
3,1095750.0,0.366114469602954,-0.07545000336091719,-0.03715334896391854,-2.2102137793199647e-06,-0.00048812420490878844,-4.152292497985365e-05
4,1461000.0,0.36538100479975133,-0.027995013569200252,-0.03208747444458018,5.886856773008168e-05,-0.0004941106460018159,-4.7576319126791616e-05
5,1826250.0,0.3585752012174719,0.01947676293921319,-0.02642752692179456,0.0001226433893916568,-0.0004922682637777867,-5.281902817708038e-05
6,2191500.0,0.3455029598064496,0.06628733402970324,-0.020272984338440284,0.00018829838112193424,-0.00048172306740430407,-5.705986817519349e-05
7,2556750.0,0.3261490771455249,0.11140591609553198,-0.013775283472941354,0.00025442555446196947,-0.000461711601301771,-6.0076673641843146e-05
8,2922000.0,0.3004818837928403,0.15408782420873218,-0.007064736074135131,0.00031977125017521014,-0.0004315467934729951,-6.168585726563026e-05
9,3287250.0,0.2688077504030953,0.1932336431614078,-0.00032693772088857525,0.0003823548500978535,-0.00039088771978445787,-6.169170552222337e-05
10,3652500.0,0.23143880129919528,0.22795326685204945,0.006265786762865795,0.00044028556629180555,-0.00033963829571457166,-5.995590044219758e-05
11,4017750.0,0.18894570619334183,0.2572876519674615,0.012521617948474801,0.0004913399973285922,-0.0002782091687264591,-5.638915555705569e-05
12,4383000.0,0.1421778930181704,0.28032903075108057,0.018239388241793435,0.0005331978547073666,-0.00020764991996149808,-5.098207697809091e-05
13,4748250.0,0.09195461794465554,0.29636944949442884,0.023244339671148435,0.0005638474952526811,-0.00012939398060729204,-4.3821667468888035e-05
14,5113500.0,0.039577626063251756,0.30479137635216064,0.027354526438530334,0.0005813911260217829,-4.583601574693853e-05,-3.5115985515251754e-05
15,5478750.0,-0.01382235956339808,0.305248783889918,0.030434020426688104,0.0005846649151743181,4.051024037499187e-05,-2.5161524858920484e-05
16,5844000.0,-0.06681348989494115,0.29763778555892184,0.032372354569935646,0.0005731379871422198,0.00012649165900477879,-1.4371350635002095e-05
17,6209250.0,-0.11805478829993984,0.28214388224739656,0.033108383766497655,0.000547133836736975,0.0002090540231278739,-3.202790517640902e-06
18,6574500.0,-0.166312457491922,0.25915870590669043,0.032623959414680645,0.0005077697976179857,0.00028540606079405933,7.865414022469613e-06
19,6939750.0,-0.2103154456255108,0.22945478282041246,0.030958142055479795,0.0004569052257865126,0.00035295358691313596,1.835925927137121e-05
20,7305000.0,-0.2492047321953043,0.19378835730770652,0.028179763053479658,0.0003967283249323289,0.0004100984808736854,2.7899286276448814e-05
21,7670250.0,-0.2821177710179289,0.15326895482425199,0.02441165865583308,0.0003298796724541609,0.00045558556972305134,3.6154189700253335e-05
22,8035500.0,-0.30857268479142835,0.10891623587414043,0.019792814065816094,0.0002587923358679606,0.0004890645297459301,4.2923037077595824e-05
23,8400750.0,-0.32821210104361825,0.06185664368387888,0.0144868669324598,0.00018590100205263474,0.0005106669215867158,4.8081826547652874e-05
24,8766000.0,-0.34094787707206103,0.013187024018278416,0.008673595885377805,0.000113260732308685,0.0005209650590574697,5.159802897947974e-05
25,9131250.0,-0.3468106084546506,-0.036137471657249134,0.0025205883821878376,4.254208493794562e-05,0.0005209172621679965,5.351593470835554e-05
26,9496500.0,-0.34603054144395906,-0.08508262602028337,-0.0037845606481634445,-2.478179291248386e-05,0.0005115779952525602,5.391895290566855e-05
27,9861750.0,-0.3389036777331619,-0.132918449509797,-0.010087515743327901,-8.783253976044586e-05,0.0004941297426100654,5.293828478666549e-05
28,10227000.0,-0.32585125167684453,-0.17881521947831322,-0.016224694942838642,-0.00014576582531747916,0.00046977808659727613,5.072244858705321e-05
29,10592250.0,-0.3073438767591379,-0.2222070986643594,-0.02205866755806249,-0.00019819615373595903,0.0004396015287657112,4.742769531747022e-05
30,10957500.0,-0.2838875507142749,-0.2625058045702322,-0.027462580584493322,-0.00024480603429174916,0.00040470950259508334,4.322345669546917e-05
31,11322750.0,-0.2560362763904654,-0.2992988230084668,-0.03232686715785051,-0.00028548627319712394,0.00036601997844335556,3.826579113393324e-05
32,11688000.0,-0.22433070772650812,-0.3322114626732824,-0.036558881763247654,-0.0003202567380154972,0.0003243996434693534,3.271295632949887e-05
33,12053250.0,-0.18935844790978157,-0.36094510036559824,-0.040081366743637686,-0.0003491600887622841,0.00028064560904374127,2.6715575709137146e-05
34,12418500.0,-0.15163919552470295,-0.3853236159375055,-0.042836663196024964,-0.0003723778208106127,0.00023535708827299525,2.0405376691668335e-05
35,12783750.0,-0.11176986615490414,-0.4051380625974029,-0.04477854898463375,-0.0003900660110667941,0.00018922111676134015,1.392383574412033e-05
36,13149000.0,-0.07024557278679387,-0.42034065966215794,-0.0458820972159561,-0.00040244044259366604,0.00014267234064089954,7.381299654487218e-06
37,13514250.0,-0.027628816590905842,-0.430854646092131,-0.04613214371753913,-0.00040972147816106515,9.622555676764888e-05,8.983493715230996e-07
38,13879500.0,0.015598775233547666,-0.4366809026193314,-0.04553396229628241,-0.00041214864036668783,5.0274966961469784e-05,-5.424237800174347e-06
39,14244750.0,0.058944606428955076,-0.4378750335291054,-0.04410121659704425,-0.0004099389616902049,5.1594355824582006e-06,-1.1492004382877888e-05
40,14610000.0,0.1019066163152536,-0.43449075913434837,-0.04186723059247463,-0.00040335784966002736,-3.8736059820726494e-05,-1.7210968883216898e-05
41,14975250.0,0.14409981575050568,-0.4266604421280881,-0.038872445569275355,-0.0003926019861927097,-8.119069334883811e-05,-2.2508455095540136e-05
42,15340500.0,0.18501550981853257,-0.4145238229942785,-0.035174775981720946,-0.0003779465181938559,-0.00012185201972463405,-2.73039346330352e-05
43,15705750.0,0.2243131807865723,-0.3982473985668548,-0.03083926481358478,-0.00035959631380839366,-0.00016052996044344878,-3.153661251490433e-05
44,16071000.0,0.2615746314641828,-0.3780616123167906,-0.02594414721849823,-0.00033778658673548194,-0.00019695148908690843,-3.514723086430981e-05
45,16436250.0,0.2964265819473772,-0.35417954337296254,-0.02057702987885025,-0.00031278618715653036,-0.00023089904403288556,-3.808416934939254e-05
46,16801500.0,0.3285779956382846,-0.3268674001872162,-0.014829869490430062,-0.00028477716178967985,-0.00026218132406049947,-4.030882342525338e-05
47,17166750.0,0.3576537424979282,-0.2964382745714047,-0.008810713009625963,-0.00025407083705736755,-0.0002905591884041338,-4.178532859390401e-05
48,17532000.0,0.38343072863216365,-0.26315139473150495,-0.002619649895819486,-0.00022085214341737916,-0.0003158933116259624,-4.249153418560437e-05
49,17897250.0,0.40561218003450583,-0.227406389736235,0.003624320248799931,-0.00018543003418144749,-0.0003379490536372627,-4.241364543774921e-05
50,18262500.0,0.42398400426901534,-0.18951253412382307,0.009811517277286325,-0.00014804183116661293,-0.00035660087845949947,-4.1546302329551874e-05
51,18627750.0,0.4383741125554383,-0.1498551473253066,0.01582740986506303,-0.00010894877434774249,-0.0003716571139049419,-3.989747175407089e-05
52,18993000.0,0.4485837925371664,-0.1088676798498616,0.02155513126656687,-6.848693315860579e-05,-0.0003829807648650151,-3.748481356310542e-05
53,19358250.0,0.4545198040480086,-0.06688464099797839,0.026891291396206808,-2.6862200719895103e-05,-0.00039043570826082793,-3.43343194186058e-05
54,19723500.0,0.45608402445565105,-0.024426311574938936,0.03172415823830271,1.552164460447077e-05,-0.00039387058717813044,-3.0490905119063403e-05
55,20088750.0,0.45320435353070426,0.018163897046366492,0.035963923228731286,5.8452476756506e-05,-0.00039319841600070533,-2.599845218973753e-05
56,20454000.0,0.4458946039509993,0.060379053365943784,0.03951698775910683,0.00010152525343236026,-0.00038827963044041054,-2.092562041062028e-05
57,20819250.0,0.43415116986883023,0.10178183251438816,0.04230967115249668,0.00014444394977667212,-0.00037903958175416867,-1.5342421260640334e-05
58,21184500.0,0.418037263118439,0.14194975952052258,0.0442767721998836,0.0001868606058078471,-0.0003653683740520221,-9.330599949987724e-06
59,21549750.0,0.3976763510164703,0.1803533070358637,0.045367727282643946,0.00022834367316475256,-0.0003472152285133222,-2.992710664703127e-06
60,21915000.0,0.37315161098996513,0.2166106422322419,0.045549075667637835,0.00026859160335201396,-0.00032448242381796175,3.577173964277277e-06
61,22280250.0,0.34471731319150234,0.2501882735695665,0.04480253140344335,0.000307061701230168,-0.0002971602476203607,1.0249328707048042e-05
62,22645500.0,0.31252781708839106,0.2806777193378695,0.043129102290313776,0.0003433915473441935,-0.000265176817254296,1.6909299830668733e-05
63,23010750.0,0.2768914375003946,0.30759608303588376,0.040548290055461234,0.00037701646497246156,-0.00022856305875793736,2.3411483503764163e-05
64,23376000.0,0.23813733239532459,0.3305070315905994,0.03710080027729716,0.00040737949182305334,-0.00018733517377192657,2.9607875965139267e-05
65,23741250.0,0.19658676554625318,0.34897344103029043,0.03284528986709733,0.00043391066715340085,-0.0001415559129751624,3.534604481185279e-05
66,24106500.0,0.15276611858683947,0.36257311999164943,0.027867825502500526,0.00045585250701210095,-9.144151641412389e-05,4.0445792452757016e-05
67,24471750.0,0.10706591542217546,0.370915283045751,0.022267615982493345,0.00047253742549243803,-3.713111283429568e-05,4.4741436361177475e-05
68,24837000.0,0.060177411440787636,0.373638904348547,0.016177803788349463,0.00048308790125573453,2.086891040630971e-05,4.804007424532926e-05
69,25202250.0,0.012644751066178767,0.37043929742577736,0.00973829580149284,0.0004866705593004639,8.215325739673122e-05,5.016257882788274e-05
70,25567500.0,-0.034721755839183646,0.3610560590402868,0.0031267505707128817,0.0004824030695361029,0.00014589465152863566,5.092972954619381e-05
71,25932750.0,-0.08116181759950464,0.34536812509952713,-0.003479309658522735,0.00046936402925683144,0.00021113805627082395,5.0174564843161546e-05
72,26298000.0,-0.12578380569739747,0.3232818687421944,-0.009873092338889338,0.0004467871434675341,0.00027665927098405524,4.776641531496274e-05
73,26663250.0,-0.1676162526023442,0.2949479274529336,-0.01584486802198727,0.00041401877162592667,0.00034079483893729735,4.3616321685556364e-05
