,t,xh,yh,zh,vxh,vyh,vz
0,0.0,-8.251865479969881,-5.225008639991923,0.4193935221241264,-4.605759664051834e-05,8.126140796330281e-05,4.2299473703196224e-07
1,365250.0,-9.33116633142762,-2.037011641023936,0.413352477360943,-1.5620635965844917e-05,9.452732505024117e-05,-8.442966010471515e-07
2,730500.0,-9.238930537217064,1.4150077827851035,0.36643415194395756,1.881978995981631e-05,9.587445051244646e-05,-2.1177023137861854e-06
3,1095750.0,-7.883059995269099,4.748689222207002,0.27759641231365184,5.343115918060774e-05,8.35687594104211e-05,-3.2635951028414114e-06
4,1461000.0,-5.480875684488523,7.352563477977611,0.1614157096121784,8.030983637429292e-05,5.9120690126067665e-05,-4.025987137038685e-06
5,1826250.0,-2.2328366056511344,8.928911670295474,0.02511964753940129,9.583224894308664e-05,2.515110044224659e-05,-4.317103848400498e-06
6,2191500.0,1.203071730749937,9.236959004202092,-0.106083612928252,9.756720782402242e-05,-1.061324482677034e-05,-4.116151596121734e-06
7,2556750.0,4.500119894230368,8.333095569158502,-0.22343077290430785,8.62848335437302e-05,-4.343623572276671e-05,-3.493609073251653e-06
8,2922000.0,7.14343581822003,6.380011308547548,-0.31149631238895314,6.516060538585957e-05,-6.946469525961412e-05,-2.59441219846091e-06
9,3287250.0,8.95034289166544,3.728028117192334,-0.36730922423788537,3.756901991917382e-05,-8.662209307246923e-05,-1.5345246752192118e-06
10,3652500.0,9.68883854700374,0.5913918527645644,-0.3863420382710602,6.315298377673614e-06,-9.391080031581191e-05,-4.046793284568005e-07
11,4017750.0,9.338571458895586,-2.551248477523841,-0.3700446484555005,-2.5469178203533567e-05,-9.081728842701146e-05,6.9282435285447e-07
12,4383000.0,7.8721772870566555,-5.522598099036074,-0.31873610002736175,-5.563169579699046e-05,-7.727487230659056e-05,1.725280889762362e-06
13,4748250.0,5.45416263617311,-7.776223440467951,-0.23922261440800296,-7.940099070362912e-05,-5.420422851191314e-05,2.5307814190994125e-06
14,5113500.0,2.259725223536619,-9.151986641588296,-0.13709091878148688,-9.435836759095912e-05,-2.2497583339576152e-05,3.055550912496748e-06
15,5478750.0,-1.2266594587429396,-9.30497463536703,-0.02791355380924723,-9.676165531517409e-05,1.2332476941670934e-05,3.195375543594778e-06
16,5844000.0,-4.579709567217425,-8.221155728798799,0.07479624454372791,-8.539349454622672e-05,4.5997445496483514e-05,2.9282442443274326e-06
17,6209250.0,-7.335316633509794,-6.036212664874355,0.1589496576882101,-6.280577415073563e-05,7.309938439675555e-05,2.338762521198507e-06
18,6574500.0,-9.109493276259327,-3.143875733560329,0.21267774740016296,-3.332760822440417e-05,8.894143860710722e-05,1.562373994540693e-06
19,6939750.0,-9.761223110320836,0.16688008924763242,0.23561738883008349,-3.094376365240901e-07,9.35015813171025e-05,7.120828189750602e-07
20,7305000.0,-9.301856736925538,3.325319977305841,0.22810720727632966,3.059781945904376e-05,8.747917196787803e-05,-6.173721018894973e-08
21,7670250.0,-7.772546700975095,6.146241379237459,0.19519983132957153,5.778550939062051e-05,7.186693922351284e-05,-7.142627615335523e-07
22,8035500.0,-5.435446729964517,8.210946530115692,0.1437878482299686,7.877674632617234e-05,4.8929585792085194e-05,-1.1880931442904989e-06
23,8400750.0,-2.4703010794591957,9.418490078023774,0.08040929495259483,9.195135218444e-05,1.9971186546942724e-05,-1.4683443273097754e-06
24,8766000.0,0.8244052405721527,9.4689452691278,0.013353202786413962,9.51951502644036e-05,-1.3116805398755205e-05,-1.5088265767286714e-06
25,9131250.0,4.037940904577866,8.367612481953035,-0.047870783504126165,8.650239343101328e-05,-4.699924169923952e-05,-1.2872252148778765e-06
26,9496500.0,6.781495153173831,6.044685396357827,-0.09373132027015947,6.47870766395554e-05,-7.708628862463652e-05,-8.201360320509223e-07
27,9861750.0,8.501716061136689,2.833193325695299,-0.11314805637789985,3.1582582632129185e-05,-9.667546445035309e-05,-1.6350709771854593e-07
28,10227000.0,8.94463196559441,-0.9145826662408246,-0.10364357747903705,-7.984822515390731e-06,-0.00010138815787255357,5.35511348681714e-07
29,10592250.0,7.973872480343865,-4.45763554538552,-0.06525492320364455,-4.425117519110866e-05,-8.973745747457783e-05,1.081959728656329e-06
30,10957500.0,5.813793677418091,-7.379989574723975,-0.006461522513687427,-7.220715553291533e-05,-6.512625571500086e-05,1.3841230136751197e-06
31,11322750.0,2.914618188734883,-9.253697911100508,0.06041473572343115,-8.78615102750398e-05,-3.4476778067140204e-05,1.3988050219935262e-06
32,11688000.0,-0.2981912482799324,-9.963875225041267,0.12535019100460978,-9.152351994875153e-05,-2.562337860079299e-06,1.158838527690968e-06
33,12053250.0,-3.440201926160114,-9.5671945692911,0.1793631187248718,-8.538711664647293e-05,2.7583463712310043e-05,7.27359385670659e-07
